Rank	City	Population (2000)	Latitude (DD)	Longitude (DD)
1	Sydney	4277200	-33.870	151.210
2	Melbourne	3666000	-37.810	144.960
3	Brisbane	1598600	-27.460	153.020
4	Perth	1412900	-31.960	115.840
5	Adelaide	1089700	-34.930	138.600
6	Newcastle	502300	-32.920	151.750
7	Gold_coast	457900	-28.070	153.440
8	Canberra	323100	-35.310	149.130
9	Wollongong	262500	-34.420	150.870
10	Sunshine_coast	254700	-25.880	152.560
11	Hobart	201000	-42.850	147.290
12	Geelong	161500	-38.140	144.320
13	Townsville	152400	-19.260	146.780
14	Cairns	128500	-16.920	145.750
15	Launceston	99400	-41.450	147.130
16	Albury-wodonga	97300	-36.060	146.920
17	Darwin	95000	-12.430	130.850
18	Toowoomba	91800	-27.560	151.960
19	Ballarat	85300	-37.560	143.840
20	Shoalhaven	81600	-34.880	150.590
21	Bendigo	80400	-36.760	144.280
22	Burnie-devonport	78400	-41.060	145.890
23	Bathurst-orange	76600	-33.420	149.570
24	Mackay	72700	-21.140	149.180
25	Hastings	68000	-38.310	145.190
26	Rockhampton	66100	-23.370	150.510
27	Coffs_harbour	62600	-30.300	153.120
28	Bundaberg	60300	-24.870	152.350
29	Wagga_wagga	56400	-35.120	147.350
30	Mildura	46900	-34.190	142.160
31	Shepparton-mooroopna	45300	-36.370	145.400
32	Maroochydore-mooloolaba	45100	-26.680	153.120
33	Taree	44900	-31.900	152.470
34	Lismore	43200	-28.810	153.290
35	Gladstone	42900	-23.850	151.250
36	Mandurah	40800	-32.530	115.750
37	Hervey_bay	39700	-25.290	152.840
38	Dubbo	39100	-32.250	148.600
39	Tamworth	36700	-31.100	150.920
40	Port_macquarie	35900	-31.440	152.910
41	Kalgoorlie-boulder	35600	-30.740	121.460
42	Caloundra	35100	-26.810	153.130
43	Melton	33500	-37.690	144.570
44	Tewantin-noosa	32300	-26.390	153.030
45	Warrnambool	28800	-38.380	142.470
46	Geraldton	28700	-28.770	114.590
47	Bunbury	28300	-33.350	115.650
48	Cranbourne	27400	-38.110	145.270
49	Mount_isa	27000	-20.730	139.480
50	Maryborough	26400	-25.540	152.720
51	Alice_springs	25500	-23.700	133.870
52	Palmerston	24700	-12.400	130.900
53	Sunbury	24500	-37.570	144.710
54	Whyalla	24400	-33.030	137.570
55	Queanbeyan	23800	-35.350	149.220
56	Albany	23300	-35.020	117.880
57	Mount_gambier	23000	-37.840	140.770
58	Richmond-windsor	22700	-33.600	150.740
59	Armidale	22700	-30.510	151.660
60	Goulburn	22600	-34.750	149.710
61	Broken_hill	22300	-31.950	141.440
62	Caboolture	21800	-27.090	152.950
63	Roebourne	21200	-20.770	117.130
64	Traralgon	21000	-38.200	146.530
65	Kawana_waters	20200	-26.760	153.130
66	Katoomba-wentworth_falls	18800	-33.710	150.320
