Rank	City	Population (2000)	Latitude (DD)	Longitude (DD)
1	Berlin	3396300	52.520	13.380
2	Hamburg	1731200	53.550	10.000
3	Munchen	1241100	48.140	11.580
4	Koln	969500	50.950	6.970
5	Frankfurt	646000	50.120	8.680
6	Dortmund	592200	51.510	7.480
7	Stuttgart	590500	48.790	9.190
8	Essen	581600	51.470	7.000
9	Dusseldorf	572900	51.240	6.790
10	Bremen	545000	53.080	8.810
11	Hannover	516300	52.400	9.730
12	Duisburg	506700	51.430	6.750
13	Nurnberg	495600	49.450	11.050
14	Leipzig	494700	51.350	12.400
15	Dresden	480000	51.050	13.740
16	Bochum	388200	51.480	7.200
17	Wuppertal	362800	51.260	7.180
18	Bielefeld	323700	52.030	8.530
19	Bonn	311000	50.730	7.100
20	Mannheim	309600	49.500	8.470
21	Karlsruhe	283000	49.000	8.400
22	Gelsenkirchen	273900	51.510	7.110
23	Wiesbaden	272100	50.080	8.230
24	Munster	270200	51.960	7.620
25	Monchengladbach	263300	51.200	6.420
26	Augsburg	260600	48.360	10.890
27	Chemnitz	249900	50.830	12.920
28	Aachen	249200	50.770	6.090
29	Braunschweig	245600	52.270	10.510
30	Krefeld	239000	51.330	6.550
31	Halle	236000	51.480	11.960
32	Kiel	234300	54.320	10.120
33	Magdeburg	226200	52.130	11.620
34	Oberhausen	220600	51.470	6.860
35	Lubeck	213500	53.870	10.660
36	Freiburg	211900	47.990	7.850
37	Hagen	200600	51.370	7.460
38	Erfurt	199300	50.990	11.030
39	Rostock	197200	54.090	12.100
40	Kassel	193900	51.320	9.480
41	Mainz	186800	50.000	8.260
42	Hamm	185200	51.670	7.800
43	Saarbrucken	182300	49.250	6.970
44	Herne	173500	51.540	7.210
45	Mulheim	172100	51.430	6.860
46	Osnabruck	165000	52.280	8.050
47	Solingen	164600	51.180	7.060
48	Ludwigshafen	162500	49.480	8.440
49	Leverkusen	160000	51.040	6.990
50	Oldenburg	158600	53.150	8.210
51	Neuss	151500	51.200	6.690
52	Heidelberg	143600	49.420	8.690
53	Paderborn	142300	51.720	8.740
54	Darmstadt	139400	49.870	8.640
55	Wurzburg	132900	49.800	9.940
56	Potsdam	131900	52.400	13.070
57	Regensburg	128800	49.020	12.110
58	Recklinghausen	124300	51.610	7.190
59	Gottingen	123100	51.530	9.920
60	Wolfsburg	122800	52.430	10.780
61	Heilbronn	121300	49.140	9.220
62	Bottrop	120800	51.530	6.930
63	Offenbach	119900	50.100	8.770
64	Ulm	119900	48.400	9.970
65	Bremerhaven	119500	53.550	8.580
66	Pforzheim	119500	48.890	8.690
67	Ingolstadt	119300	48.770	11.430
68	Remscheid	118100	51.180	7.190
69	Furth	112300	49.480	10.980
70	Reutlingen	112200	48.490	9.210
71	Salzgitter	110400	52.170	10.330
72	Koblenz	108100	50.350	7.600
73	Siegen	107800	50.870	8.010
74	Moers	107700	51.450	6.650
75	Gera	106600	50.880	12.080
76	Bergisch_gladbach	105500	50.980	7.150
77	Hildesheim	103500	52.160	9.950
78	Witten	103000	51.440	7.340
79	Erlangen	102500	49.600	11.010
80	Cottbus	102400	51.770	14.330
81	Trier	100400	49.750	6.630
82	Zwickau	100100	50.720	12.500
83	Jena	99900	50.930	11.580
84	Kaiserslautern	99300	49.450	7.750
85	Iserlohn	98800	51.390	7.680
86	Schwerin	97700	53.630	11.400
87	Gutersloh	95600	51.910	8.370
88	Duren	93000	50.810	6.490
89	Ratingen	92500	51.300	6.850
90	Marl	92400	51.680	7.120
91	Lunen	92200	51.620	7.520
92	Esslingen	91600	48.740	9.320
93	Velbert	89800	51.350	7.040
94	Hanau	89300	50.140	8.910
95	Ludwigsburg	88100	48.900	9.190
96	Flensburg	85000	54.790	9.420
97	Wilhelmshaven	84700	53.540	8.110
98	Tubingen	83300	48.530	9.060
99	Minden	82800	52.290	8.900
100	Villingen-schwenningen	82300	48.070	8.450
101	Worms	81500	49.640	8.350
102	Dorsten	81400	51.670	6.970
103	Ludenscheid	80200	51.230	7.600
104	Konstanz	80100	47.680	9.170
105	Neumunster	79600	54.070	9.980
106	Castrop-rauxel	78500	51.550	7.310
107	Dessau	78200	51.830	12.220
108	Marburg	77700	50.800	8.770
109	Viersen	77400	51.260	6.400
110	Gladbeck	77200	51.580	6.980
111	Arnsberg	77100	51.410	8.060
112	Rheine	76100	52.290	7.440
113	Delmenhorst	76000	53.060	8.640
114	Bayreuth	74700	49.950	11.580
115	Brandenburg	74500	52.420	12.530
116	Troisdorf	74000	50.820	7.160
117	Detmold	73800	51.950	8.880
118	Giessen	73700	50.580	8.680
119	Bocholt	73200	51.840	6.610
120	Norderstedt	72700	53.660	10.020
