Rank	City	Population (2000)	Latitude (DD)	Longitude (DD)
1	Tokyo	8294200	35.670	139.770
2	Yokohama	3525600	35.470	139.620
3	Osaka	2596700	34.680	135.500
4	Nagoya	2196400	35.150	136.910
5	Sapporo	1853600	43.060	141.340
6	Kobe	1535100	34.680	135.170
7	Kyoto	1468200	35.010	135.750
8	Fukuoka	1376100	33.590	130.410
9	Kawasaki	1288000	35.530	139.700
10	Hiroshima	1134800	34.390	132.440
11	Sendai	1029200	38.260	140.890
12	Kitakyushu	1009700	33.880	130.860
13	Chiba	909800	35.610	140.110
14	Sakai	786200	34.570	135.480
15	Kumamoto	667200	32.800	130.710
16	Okayama	632500	34.670	133.920
17	Sagamihara	630900	35.580	139.380
18	Hamamatsu	594700	34.720	137.730
19	Funabashi	558800	35.700	139.990
20	Hachioji	558800	35.660	139.330
21	Kagoshima	553400	31.590	130.560
22	Higashiosaka	513900	34.670	135.590
23	Urawa	505000	35.870	139.640
24	Niigata	503300	37.920	139.040
25	Himeji	483300	34.830	134.690
26	Matsuyama	478400	33.840	132.770
27	Omiya	471800	35.910	139.630
28	Matsudo	469800	35.780	139.900
29	Kawaguchi	468500	35.810	139.730
30	Shizuoka	468500	34.980	138.390
31	Nishinomiya	465800	34.730	135.340
32	Kanazawa	457300	36.560	136.640
33	Ichikawa	456000	35.720	139.930
34	Amagasaki	455800	34.710	135.410
35	Utsunomiya	448700	36.560	139.890
36	Oita	440900	33.240	131.600
37	Kurashiki	434300	34.610	133.770
38	Yokosuka	430900	35.270	139.670
39	Nagasaki	413100	32.750	129.880
40	Hirakata	403800	34.810	135.660
41	Gifu	400500	35.420	136.760
42	Machida	390100	35.560	139.430
43	Fujisawa	388600	35.330	139.470
44	Toyonaka	387900	34.780	135.480
45	Fukuyama	380800	34.500	133.370
46	Wakayama	380300	34.220	135.170
47	Toyohashi	373800	34.760	137.390
48	Nara	369000	34.690	135.830
49	Nagano	360700	36.650	138.180
50	Toyota	358900	35.090	137.160
51	Iwaki	358600	37.050	140.880
52	Asahikawa	358100	43.770	142.360
53	Takatsuki	354900	34.850	135.620
54	Suita	350700	34.750	135.520
55	Okazaki	346500	34.960	137.160
56	Koriyama	338000	37.410	140.380
57	Tokorozawa	337100	35.800	139.470
58	Kawagoe	336500	35.920	139.490
59	Kashiwa	335600	35.870	139.970
60	Kochi	333900	33.560	133.540
61	Takamatsu	333200	34.340	134.040
62	Toyama	325200	36.700	137.220
63	Akita	317900	39.710	140.110
64	Koshigaya	315300	35.890	139.790
65	Miyazaki	307900	31.910	131.420
66	Naha	303500	26.210	127.700
67	Aomori	298400	40.830	140.740
68	Otsu	296800	35.010	135.870
69	Akashi	296700	34.660	134.980
70	Kasugai	295000	35.240	136.980
71	Yokkaichi	294100	34.970	136.640
72	Fukushima	293000	37.750	140.470
73	Morioka	288700	39.700	141.150
74	Maebashi	284200	36.390	139.060
75	Hakodate	281200	41.800	140.740
76	Ichihara	280700	35.530	140.090
77	Ichinomiya	279000	35.300	136.800
78	Yao	273800	34.630	135.580
79	Kakogawa	269800	34.770	134.840
80	Tokushima	266800	34.070	134.550
81	Ibaraki	261900	34.810	135.570
82	Hiratsuka	257500	35.330	139.350
83	Yamagata	254400	38.250	140.330
84	Fukui	250100	36.080	136.220
85	Shimonoseki	247300	33.960	130.940
86	Mito	247000	36.380	140.470
87	Neyagawa	246800	34.790	135.640
88	Takasaki	241200	36.330	139.020
89	Hachinohe	240400	40.520	141.530
90	Kurume	238300	33.310	130.510
91	Fuji	237500	35.170	138.690
92	Sasebo	237500	33.160	129.720
93	Shimizu	235600	35.020	138.490
94	Fuchu	234500	35.670	139.480
95	Soka	230100	35.820	139.790
96	Chigasaki	227300	35.330	139.410
97	Atsugi	224300	35.450	139.360
98	Yamato	219700	35.520	139.470
99	Takarazuka	219300	34.800	135.350
100	Ageo	217800	35.950	139.610
101	Matsumoto	210700	36.240	137.970
102	Chofu	209900	35.650	139.550
103	Kasukabe	206200	35.980	139.770
104	Numazu	205600	35.100	138.860
