map,source,dest
de50,Lubeck,Hamburg
de50,Bremen,Oldenburg
de50,Lubeck,Rostock
de50,Oldenburg,Osnabruck
de50,Munster,Hamm
de50,Hamm,Dortmund
de50,Dortmund,Hagen
de50,Dortmund,Herne
de50,Herne,Bochum
de50,Bochum,Gelsenkirchen
de50,Gelsenkirchen,Essen
de50,Essen,Oberhausen
de50,Oberhausen,Mulheim
de50,Mulheim,Duisburg
de50,Duisburg,Krefeld
de50,Krefeld,Monchengladbach
de50,Krefeld,Dusseldorf
de50,Dusseldorf,Solingen
de50,Solingen,Wuppertal
de50,Solingen,Leverkusen
de50,Leverkusen,Koln
de50,Koln,Bonn
de50,Monchengladbach,Aachen
de50,Bielefeld,Hannover
de50,Hannover,Braunschweig
de50,Braunschweig,Magdeburg
de50,Magdeburg,Halle
de50,Halle,Leipzig
de50,Leipzig,Chemnitz
de50,Chemnitz,Dresden
de50,Halle,Erfurt
de50,Bielefeld,Kassel
de50,Bonn,Wiesbaden
de50,Wiesbaden,Mainz
de50,Wiesbaden,Frankfurt
de50,Mainz,Mannheim
de50,Mannheim,Ludwigshafen
de50,Ludwigshafen,Karlsruhe
de50,Karlsruhe,Stuttgart
de50,Karlsruhe,Saarbrucken
de50,Karlsruhe,Freiburg
de50,Magdeburg,Berlin
de50,Stuttgart,Augsburg
de50,Augsburg,Munchen
de50,Augsburg,Nurnberg
de50,Lubeck,Kiel
de50,Wiesbaden,Hagen
de50,Hamburg,Hannover
de50,Nurnberg,Erfurt
de50,Solingen,Gelsenkirchen
de50,Bielefeld,Hamm
de50,Osnabruck,Bielefeld
de50,Bielefeld,Erfurt
de50,Mannheim,Erfurt
de50,Osnabruck,Munster
fr50,Reims,Montreuil
fr50,Montreuil,Paris
fr50,Paris,Asnieres-sur-seine
fr50,Asnieres-sur-seine,Colombes
fr50,Colombes,Argenteuil
fr50,Colombes,Nanterre
fr50,Asnieres-sur-seine,Saint-denis
fr50,Montreuil,Creteil
fr50,Paris,Boulogne-billancourt
fr50,Boulogne-billancourt,Versailles
fr50,Argenteuil,Rouen
fr50,Rouen,Le_havre
fr50,Le_havre,Caen
fr50,Amiens,Lille
fr50,Roubaix,Tourcoing
fr50,Versailles,Orleans
fr50,Orleans,Tours
fr50,Tours,Le.mans
fr50,Le.mans,Angers
fr50,Angers,Nantes
fr50,Poitiers,Limoges
fr50,Nantes,La_rochelle
fr50,Limoges,Clermont-ferrand
fr50,Saint-etienne,Lyon
fr50,Lyon,Villeurbanne
fr50,Villeurbanne,Grenoble
fr50,Grenoble,Avignon
fr50,Avignon,Nimes
fr50,Nimes,Montpellier
fr50,Avignon,Aix-en-provence
fr50,Marseille,Toulon
fr50,Toulon,Nice
fr50,Montpellier,Perpignan
fr50,La_rochelle,Bordeaux
fr50,Perpignan,Toulouse
fr50,Toulouse,Pau
fr50,Reims,Metz
fr50,Metz,Nancy
fr50,Nancy,Strasbourg
fr50,Strasbourg,Mulhouse
fr50,Mulhouse,Besancon
fr50,Rennes,Brest
fr50,Roubaix,Lille
fr50,Poitiers,Tours
fr50,Aix-en-provence,Marseille
fr50,Besancon,Grenoble
fr50,Toulouse,Tours
fr50,Saint-etienne,Creteil
fr50,Colombes,Asnieres-sur-seine
fr50,Le.mans,Versailles
fr50,Clermont-ferrand,Saint-etienne
fr50,Saint-etienne,Avignon
fr50,Asnieres-sur-seine,Dijon
fr50,Besancon,Dijon
fr50,Amiens,Boulogne-billancourt
fr50,Rennes,Le.mans
uk50,Edinburgh,Motherwell
uk50,Edinburgh,Dundee
uk50,Dundee,Aberdeen
uk50,Edinburgh,Newcastle_upon_tyne
uk50,Newcastle_upon_tyne,Sunderland
uk50,Sunderland,Middlesbrough
uk50,Middlesbrough,York
uk50,York,Leeds
uk50,Leeds,Bradford
uk50,Bradford,Huddersfield
uk50,Huddersfield,Manchester
uk50,Manchester,Stockport
uk50,Manchester,Bolton
uk50,Bolton,Preston
uk50,Preston,Blackpool
uk50,Huddersfield,Sheffield
uk50,Sheffield,Rotherham
uk50,Bolton,Liverpool
uk50,Stockport,Stoke-on-trent
uk50,Stoke-on-trent,Wolverhampton
uk50,Wolverhampton,Dudley
uk50,Dudley,Oldbury-smethwick
uk50,Oldbury-smethwick,West_bromwich
uk50,West_bromwich,Birmingham
uk50,West_bromwich,Walsall
uk50,Birmingham,Coventry
uk50,Coventry,Leicester
uk50,Leicester,Nottingham
uk50,Nottingham,Derby
uk50,York,Kingston_upon_hull
uk50,Leicester,Peterborough
uk50,Coventry,Oxford
uk50,Oxford,Reading
uk50,Oxford,Swindon
uk50,Swindon,Bristol
uk50,Bristol,Cardiff
uk50,Cardiff,Swansea
uk50,Oxford,Luton
uk50,London,Southend-on-sea
uk50,Southend-on-sea,Ipswich
uk50,Ipswich,Norwich
uk50,Reading,Southampton
uk50,Southampton,Portsmouth
uk50,Southampton,Bournemouth
uk50,Bournemouth,Poole
uk50,Swansea,Plymouth
uk50,London,Oxford
uk50,Bristol,Oldbury-smethwick
uk50,Belfast,Blackpool
uk50,Motherwell,Glasgow
uk50,Leicester,Sheffield
uk50,Motherwell,Preston
uk50,York,Nottingham
uk50,Leicester,Norwich
uk50,Bournemouth,Poole
