problem, generation, min, mean, stdev, max
jp50, 0, 1, -702694.57, -453706.60, 100925.75, 0.00
jp50, 1, 1, -569678.39, -422042.04, 95715.37, 0.00
jp50, 2, 1, -526661.00, -404734.17, 104951.19, 0.00
jp50, 3, 1, -500250.63, -374539.59, 125995.22, 0.00
jp50, 4, 1, -481008.88, -340132.76, 140959.73, 0.00
jp50, 5, 1, -466619.25, -304125.91, 156429.00, 0.00
jp50, 6, 1, -432397.45, -237727.28, 171791.99, 40655.54
jp50, 7, 1, -403196.61, -154538.82, 164594.26, 42090.44
jp50, 8, 1, -314770.57, -66239.30, 119791.81, 65376.96
jp50, 9, 1, -111544.06, 5697.72, 32096.92, 65376.96
jp50, 10, 1, 0.00, 24425.08, 22158.31, 68320.82
jp50, 11, 1, 0.00, 37266.42, 20781.16, 78522.39
jp50, 12, 1, 21146.32, 50030.09, 13774.41, 80563.18
jp50, 13, 1, 39134.10, 57376.16, 11966.05, 84038.43
jp50, 14, 1, 46205.52, 64269.56, 11590.71, 106765.94
jp50, 15, 1, 53772.83, 70648.83, 10568.36, 106765.94
jp50, 16, 1, 61629.23, 76690.22, 9511.27, 110839.72
jp50, 17, 1, 68401.30, 80133.91, 9497.22, 110839.72
jp50, 18, 1, 72840.60, 83760.40, 10533.00, 110839.72
jp50, 19, 1, 75324.98, 88027.87, 11135.17, 114998.74
jp50, 20, 1, 78258.85, 92571.92, 11090.98, 114998.74
jp50, 21, 1, 81307.45, 97761.68, 10176.86, 116512.59
jp50, 22, 1, 86556.17, 101717.33, 8379.45, 116512.59
jp50, 23, 1, 90901.35, 105657.88, 6237.30, 120793.78
jp50, 24, 1, 102233.34, 109002.10, 4125.22, 120793.78
jp50, 25, 1, 105766.47, 110734.26, 3993.07, 120793.78
jp50, 26, 1, 107045.89, 112061.47, 4047.49, 124319.70
jp50, 27, 1, 107907.18, 113575.53, 3630.99, 124319.70
jp50, 28, 1, 109501.75, 114753.39, 3150.55, 124319.70
jp50, 29, 1, 110824.07, 115779.63, 2982.59, 124319.70
jp50, 30, 1, 112970.73, 117078.90, 2481.02, 124319.70
jp50, 31, 1, 114581.28, 117784.59, 2387.43, 124319.70
jp50, 32, 1, 114998.74, 118352.80, 2365.11, 124501.96
jp50, 33, 1, 116106.36, 118988.37, 2252.27, 124501.96
jp50, 34, 1, 116715.58, 119834.68, 2146.45, 125205.10
jp50, 35, 1, 117361.72, 120587.75, 2086.03, 125205.10
jp50, 36, 1, 118518.07, 121316.15, 1813.54, 125205.10
jp50, 37, 1, 119317.87, 121914.86, 1658.28, 125205.10
jp50, 38, 1, 120485.66, 122618.63, 1466.68, 125205.10
jp50, 39, 1, 120703.59, 122987.60, 1387.21, 125205.10
jp50, 40, 1, 121349.29, 123409.96, 1237.83, 125205.10
jp50, 41, 1, 121828.46, 123877.35, 1015.49, 125205.10
jp50, 42, 1, 122704.19, 124318.79, 738.67, 125205.10
jp50, 0, 2, -664694.86, -453371.69, 91885.77, 0.00
jp50, 1, 2, -573225.72, -422039.94, 93738.67, 0.00
jp50, 2, 2, -512540.06, -402926.33, 97339.35, 0.00
jp50, 3, 2, -483768.77, -362674.06, 116696.78, 49773.30
jp50, 4, 2, -463128.05, -340625.00, 123513.51, 49790.09
jp50, 5, 2, -454385.10, -329936.74, 121857.27, 49790.09
jp50, 6, 2, -436276.48, -294966.26, 127378.43, 49790.09
jp50, 7, 2, -410805.16, -247078.05, 143368.61, 55865.38
jp50, 8, 2, -375211.54, -176592.24, 154908.68, 62442.06
jp50, 9, 2, -318170.48, -92936.28, 137297.67, 90023.55
jp50, 10, 2, -249285.82, -25035.44, 100806.57, 90023.55
jp50, 11, 2, -98678.57, 24950.99, 40982.33, 95227.64
jp50, 12, 2, 0.00, 45796.97, 24488.88, 98483.14
jp50, 13, 2, 29394.84, 60169.80, 18670.31, 98483.14
jp50, 14, 2, 44586.94, 67994.80, 17473.03, 108381.97
jp50, 15, 2, 51877.69, 77099.71, 14745.19, 108381.97
jp50, 16, 2, 62082.33, 84144.48, 10639.58, 108381.97
jp50, 17, 2, 77298.29, 90162.35, 7932.01, 109562.54
jp50, 18, 2, 82252.85, 93587.48, 6013.05, 109562.54
jp50, 19, 2, 88976.09, 96829.33, 4779.83, 109562.54
jp50, 20, 2, 92737.53, 99367.94, 4226.30, 111026.76
jp50, 21, 2, 95227.45, 101193.30, 4160.13, 112206.42
jp50, 22, 2, 97087.15, 102931.31, 4218.80, 113012.29
jp50, 23, 2, 98686.06, 104547.84, 3884.67, 114140.25
jp50, 24, 2, 99865.15, 105584.58, 3626.09, 114140.25
jp50, 25, 2, 101871.41, 107892.91, 3122.15, 114140.25
jp50, 26, 2, 105405.94, 109378.14, 2567.82, 115775.45
jp50, 27, 2, 106501.87, 110229.49, 2198.06, 115775.45
jp50, 28, 2, 108130.76, 111073.56, 1768.77, 115775.45
jp50, 29, 2, 108534.44, 111672.29, 1629.02, 116296.70
jp50, 30, 2, 109647.88, 112334.65, 1465.04, 116296.70
jp50, 31, 2, 110719.15, 112796.64, 1403.28, 116296.70
jp50, 32, 2, 111761.26, 113468.89, 1704.04, 120625.64
jp50, 33, 2, 112206.42, 114111.57, 1931.41, 120625.64
jp50, 34, 2, 112206.42, 114758.23, 1943.45, 120625.64
jp50, 35, 2, 113012.29, 115368.89, 1886.76, 121434.35
jp50, 36, 2, 113828.48, 116255.75, 1870.25, 121434.35
jp50, 37, 2, 114512.34, 117051.79, 2268.18, 128865.50
jp50, 38, 2, 114963.22, 117920.97, 2601.76, 130235.42
jp50, 39, 2, 115975.61, 118748.00, 2828.28, 130235.42
jp50, 40, 2, 116296.70, 119510.90, 3195.48, 130235.42
jp50, 41, 2, 116917.42, 120436.62, 3312.07, 130235.42
jp50, 42, 2, 118217.63, 121629.42, 3524.18, 130235.42
jp50, 43, 2, 119028.41, 122948.22, 3784.13, 130235.42
jp50, 44, 2, 119761.72, 124277.40, 3701.85, 131253.72
jp50, 45, 2, 120426.53, 125624.98, 3441.81, 131253.72
jp50, 46, 2, 121007.82, 126748.39, 3028.41, 132868.08
jp50, 47, 2, 122888.44, 128209.02, 2100.64, 136439.99
jp50, 48, 2, 126248.05, 128938.19, 1804.71, 136439.99
jp50, 49, 2, 127300.23, 129555.12, 1715.11, 136439.99
jp50, 50, 2, 127847.84, 130053.26, 1916.85, 137275.63
jp50, 51, 2, 128274.28, 130443.24, 1877.94, 137275.63
jp50, 52, 2, 128865.50, 130976.39, 2109.84, 139053.26
jp50, 53, 2, 129556.16, 131487.83, 2192.95, 139053.26
jp50, 54, 2, 129752.70, 131997.16, 2532.49, 143881.51
jp50, 55, 2, 130056.20, 132626.70, 2704.02, 143881.51
jp50, 56, 2, 130235.42, 133822.05, 3018.37, 143881.51
jp50, 57, 2, 131126.74, 135360.18, 3153.12, 143881.51
jp50, 58, 2, 131869.90, 136297.98, 3221.70, 147680.77
jp50, 59, 2, 132943.20, 137286.89, 3148.98, 147680.77
jp50, 60, 2, 134279.85, 138433.11, 3030.16, 147680.77
jp50, 61, 2, 135829.82, 139621.66, 3068.97, 147680.77
jp50, 62, 2, 136439.99, 140656.41, 3162.22, 152466.84
jp50, 63, 2, 137292.40, 141767.01, 2809.19, 152466.84
jp50, 64, 2, 138542.80, 142423.71, 2502.50, 152466.84
jp50, 65, 2, 140360.54, 143361.98, 2162.05, 152466.84
jp50, 66, 2, 141548.38, 144177.29, 2255.31, 152466.84
jp50, 67, 2, 141923.11, 144891.04, 2282.47, 152466.84
jp50, 68, 2, 143270.62, 145857.75, 2503.04, 152466.84
jp50, 69, 2, 143881.51, 146952.74, 2778.98, 152466.84
jp50, 70, 2, 143881.51, 147927.44, 2674.94, 153411.42
jp50, 71, 2, 145223.19, 149103.57, 2300.43, 153411.42
jp50, 72, 2, 146030.96, 149893.62, 1830.12, 153411.42
jp50, 73, 2, 147680.77, 150640.93, 1396.52, 153411.42
jp50, 74, 2, 149205.03, 151196.17, 1213.26, 153411.42
jp50, 75, 2, 149450.96, 151473.46, 1152.87, 154590.56
jp50, 76, 2, 150207.31, 151941.82, 1048.36, 155343.03
jp50, 77, 2, 150643.09, 152324.26, 1027.20, 155343.03
jp50, 78, 2, 151472.50, 152860.27, 948.58, 155343.03
jp50, 0, 3, -703038.04, -460154.55, 97931.09, 0.00
jp50, 1, 3, -592868.95, -442116.37, 89860.97, 0.00
jp50, 2, 3, -562938.70, -429406.46, 84956.53, 0.00
jp50, 3, 3, -523564.48, -408556.89, 75516.41, 0.00
jp50, 4, 3, -491200.96, -382200.66, 81065.30, 0.00
jp50, 5, 3, -474904.74, -364150.62, 87373.54, 25560.25
jp50, 6, 3, -462229.89, -348064.90, 94719.97, 30442.85
jp50, 7, 3, -430587.88, -321230.62, 108755.51, 30442.85
jp50, 8, 3, -410573.39, -304267.06, 116157.63, 30442.85
jp50, 9, 3, -395951.74, -280693.86, 117375.04, 30442.85
jp50, 10, 3, -374402.94, -237793.18, 134274.06, 47765.14
jp50, 11, 3, -354291.11, -188737.26, 145630.38, 53633.81
jp50, 12, 3, -293494.80, -120656.03, 144304.72, 53633.81
jp50, 13, 3, -268212.88, -38062.31, 111515.97, 53633.81
jp50, 14, 3, -90307.41, 26295.68, 24338.37, 56079.34
jp50, 15, 3, 18854.91, 36130.94, 9877.90, 60358.97
jp50, 16, 3, 29067.87, 41703.61, 9032.62, 60358.97
jp50, 17, 3, 30442.85, 45759.94, 8468.70, 68130.02
jp50, 18, 3, 39792.85, 50393.64, 7274.61, 72230.97
jp50, 19, 3, 43758.11, 52732.93, 6531.89, 72230.97
jp50, 20, 3, 47634.25, 55530.01, 6245.46, 76975.57
jp50, 21, 3, 50448.55, 57516.61, 6336.34, 76975.57
jp50, 22, 3, 52583.96, 60019.80, 6894.18, 76975.57
jp50, 23, 3, 54247.86, 62314.46, 6764.27, 76975.57
jp50, 24, 3, 54986.29, 64940.89, 6269.63, 76975.57
jp50, 25, 3, 59174.01, 68067.61, 5466.32, 80379.93
jp50, 26, 3, 63032.22, 71076.80, 5032.61, 90038.53
jp50, 27, 3, 67508.72, 74127.11, 4811.43, 90038.53
jp50, 28, 3, 70186.51, 76141.57, 4701.86, 90038.53
jp50, 29, 3, 72230.97, 78561.54, 4681.11, 90038.53
jp50, 30, 3, 74175.29, 80516.55, 4741.66, 97100.15
jp50, 31, 3, 76433.41, 82678.17, 4586.29, 98388.92
jp50, 32, 3, 79252.69, 85092.03, 4404.74, 98664.33
jp50, 33, 3, 81245.98, 87636.85, 5118.26, 101135.18
jp50, 34, 3, 83118.94, 89658.09, 4991.87, 101135.18
jp50, 35, 3, 85141.84, 91272.18, 4695.90, 101135.18
jp50, 36, 3, 86567.44, 93040.00, 4459.50, 101201.90
jp50, 37, 3, 89044.39, 95164.54, 4199.99, 109063.55
jp50, 38, 3, 90316.16, 97068.57, 4189.15, 109098.28
jp50, 39, 3, 92694.70, 98797.61, 3926.36, 110178.76
jp50, 40, 3, 96452.25, 100612.22, 3953.99, 112773.59
jp50, 41, 3, 97327.65, 102304.17, 4622.18, 116126.95
jp50, 42, 3, 98388.92, 104683.49, 5179.17, 118327.78
jp50, 43, 3, 99095.51, 107031.33, 5579.73, 122832.88
jp50, 44, 3, 101734.79, 109361.37, 5396.10, 123087.85
jp50, 45, 3, 104360.43, 112171.75, 5400.07, 124760.14
jp50, 46, 3, 107188.39, 114397.06, 5193.02, 127770.00
jp50, 47, 3, 109715.42, 116741.09, 4559.10, 127770.00
jp50, 48, 3, 112104.87, 118668.12, 3926.69, 127770.00
jp50, 49, 3, 114371.65, 119891.83, 3591.62, 129267.06
jp50, 50, 3, 116019.15, 121357.77, 3358.62, 129267.06
jp50, 51, 3, 119192.85, 123305.82, 2697.32, 131505.92
jp50, 52, 3, 120908.45, 124308.29, 2714.80, 132179.57
jp50, 53, 3, 122130.36, 125588.12, 2713.71, 132179.57
jp50, 54, 3, 122991.42, 126604.24, 2613.27, 132179.57
jp50, 55, 3, 123455.77, 127677.27, 2326.92, 132685.50
jp50, 56, 3, 125288.14, 128880.00, 1871.53, 133774.82
jp50, 57, 3, 127491.25, 129676.27, 1438.55, 133774.82
jp50, 58, 3, 128333.15, 130129.64, 1477.94, 135203.20
jp50, 59, 3, 128866.19, 130695.35, 1489.76, 135203.20
jp50, 60, 3, 129267.06, 131239.28, 1581.40, 136256.31
jp50, 61, 3, 129492.28, 131941.34, 1696.65, 136256.31
jp50, 62, 3, 130039.88, 132667.88, 1611.00, 136256.31
jp50, 63, 3, 131271.02, 133263.66, 1436.78, 136256.31
jp50, 64, 3, 131698.05, 133692.82, 1348.28, 136256.31
jp50, 65, 3, 132179.57, 134165.60, 1415.44, 140100.78
jp50, 66, 3, 132701.32, 134669.24, 1404.99, 140100.78
jp50, 67, 3, 133214.00, 135230.74, 1412.62, 140743.03
jp50, 68, 3, 134076.90, 135860.16, 1436.01, 140743.03
jp50, 69, 3, 134438.91, 136304.18, 1496.48, 140743.03
jp50, 70, 3, 135114.77, 136752.26, 1571.21, 141363.31
jp50, 71, 3, 135435.82, 137241.11, 1558.95, 141363.31
jp50, 72, 3, 135986.67, 137993.82, 1526.37, 141363.31
jp50, 73, 3, 136581.09, 138738.48, 1432.63, 141363.31
jp50, 74, 3, 137179.40, 139250.53, 1224.88, 141363.31
jp50, 75, 3, 138121.41, 139584.68, 1140.95, 141598.96
jp50, 76, 3, 138205.09, 139893.61, 1055.47, 141598.96
jp50, 77, 3, 138513.74, 140363.29, 807.52, 141598.96
jp50, 0, 4, -635090.14, -459214.67, 87680.91, 0.00
jp50, 1, 4, -558428.41, -429631.05, 93291.65, 0.00
jp50, 2, 4, -532925.95, -415841.67, 90173.88, 0.00
jp50, 3, 4, -493691.47, -388353.51, 98121.38, 0.00
